Id,Calle y Numero,Colonia,Municipio/Ciudad,Estado,CP
1,CALLE AGUSTIN LARA NO. 69-B,12 de Noviembre,Tuxtla Gutierrez,Chiapas,29016
2,AV. INDEPENDENCIA NO. 241,15 de Enero,Chihuahua,Chihuahua,31063
3,AV. INDEPENDENCIA NO. 779,16 de Septiembre,Culiacan,Sinaloa,80016
4,AV. 20 DE NOVIEMBRE NO.1024,20 de Noviembre,Tijuana,Baja California,22100
5,CARRETERA A LOMA ALTA S/N.,3 Caminos,Toluca,Mexico,50020
6,AV. 20 DE NOVIEMBRE NO. 1060,6 de Enero,Culiacan,Sinaloa,80010
7,CALLE ZARAGOZA NO. 1010,Adelitas I,Chihuahua,Chihuahua,31054
8,CALLE MATAMOROS NO. 310,Adonahi,Tuxtla Gutierrez,Chiapas,29016
9,AV. 20 DE NOVIEMBRE NO.859-B,Agrarista Mexicana,Culiacan,Sinaloa,80014
10,AV. 20 DE NOVIEMBRE NO 1053,Agua Azul,Tuxtla Gutierrez,Chiapas,29010
11,BLVD. BENITO JUAREZ NO. 1466-A,Agua Caliente,Tijuana,Baja California,22024
12,CALLE MATAMOROS NO.280,Agualeguas,Mexicali,Baja California,21090
13,AV. INDEPENDENCIA NO. 545,Alameda,Culiacan,Sinaloa,80019
14,AV. INDEPENDENCIA NO. 1282-A,Albania Alta,Tuxtla Gutierrez,Chiapas,29010
15,CALLE MATAMOROS NO. 127,Albania Baja,Tuxtla Gutierrez,Chiapas,29010
16,AV.INDEPENDENCIA NO.1010,Allende,Juarez,Chiapas,29515
17,AV. 5 DE MAYO NO. 1652,Altamira,Tijuana,Baja California,22054
18,AV. 5 DE MAYO NO. 1108,Altamira Sur,Tijuana,Baja California,22055
19,AV. INDEPENDENCIA NO. 748,Altavista,Juarez,Chihuahua,32120
20,AV. INDEPENDENCIA NO. 985-A,Amarantos,Tuxtla Gutierrez,Chiapas,29010
21,BLVD. BENITO JUAREZ S / N,Americana,Guadalajara,Jalisco,44160
22,MATAMOROS NO 149,Amorada,Culiacan,Sinaloa,80014
23,AV. 5 DE MAYO NO 1100-A,Amway,Monterrey,Nuevo Leon,64004
24,AV. 20 DE NOVIEMBRE NO 1540,Arboledas,Culiacan,Sinaloa,80010
25,AV. 5 DE MAYO NO 1253,Arboledas,Tabasco,Zacatecas,99630
26,CALLE OCAMPO NO 14,Arcos,Guadalajara,Jalisco,44130
27,BLVD. BENITO JUAREZ ESQ. 20 DE NOVIEMBRE S/N,Arcos del Sol Elite,Monterrey,Nuevo Leon,64102
28,CALLE ALDAMA NO 156,Arcos Vallarta,Guadalajara,Jalisco,44130
29,AV. INDEPENDENCIA NO 145,Arroyo Colorado,Juarez,Chihuahua,32140
30,AV. 20 DE NOVIEMBRE NO 1046,Artesanos,Guadalajara,Jalisco,44200
31,CALLE IGNACIO RAYON NO.949,Autocinema,Guadalajara,Jalisco,44230
32,CALLE IGNACIO RAYON NO.934,Axolahua,Azcapotzalco,Distrito Federal,2460
33,AV. 20 DE NOV. NO. 881 ESQ. ALDAMA,Azcapotzalco,Azcapotzalco,Distrito Federal,2070
34,AV. 20 DE NOVIEMBRE NO. 1178,Azcona,Tijuana,Baja California,22055
35,AV. 5 DE MAYO NO. 1226,Aztecas,Mexicali,Baja California,21137
36,AV. INDEPENDENCIA S/N EXT. DEL MERCADO CENTRAL ESQ. BENITO JUAREZ,Baja California,Mexicali,Baja California,21130
37,MATAMOROS NO 85 ESQ. 20 DE NOVIEMBRE,Balbuena,Mexicali,Baja California,21070
38,AV. 20 DE NOVIEMBRE NO 1320,Balconcitos,Tabasco,Zacatecas,99630
